,Precio,Fecha
0,total:2499,2024-10-08T05:50:00-03:
0,original:2499,2024-10-08T05:50:00-03:
0,average:2499,2024-10-08T05:50:00-03:
0,total_with_platform_fee:2799,2024-10-08T05:50:00-03:
0,average_with_platform_fee:2799,2024-10-08T05:50:00-03:
1,total:2499,2024-10-08T06:15:00-03:
1,original:2499,2024-10-08T06:15:00-03:
1,average:2499,2024-10-08T06:15:00-03:
1,total_with_platform_fee:2799,2024-10-08T06:15:00-03:
1,average_with_platform_fee:2799,2024-10-08T06:15:00-03:
2,total:1999,2024-10-08T06:15:00-03:
2,original:1999,2024-10-08T06:15:00-03:
2,average:1999,2024-10-08T06:15:00-03:
2,total_with_platform_fee:2299,2024-10-08T06:15:00-03:
2,average_with_platform_fee:2299,2024-10-08T06:15:00-03:
3,total:1999,2024-10-08T06:40:00-03:
3,original:1999,2024-10-08T06:40:00-03:
3,average:1999,2024-10-08T06:40:00-03:
3,total_with_platform_fee:2299,2024-10-08T06:40:00-03:
3,average_with_platform_fee:2299,2024-10-08T06:40:00-03:
4,total:2499,2024-10-08T06:45:00-03:
4,original:2499,2024-10-08T06:45:00-03:
4,average:2499,2024-10-08T06:45:00-03:
4,total_with_platform_fee:2799,2024-10-08T06:45:00-03:
4,average_with_platform_fee:2799,2024-10-08T06:45:00-03:
5,total:2499,2024-10-08T07:10:00-03:
5,original:2499,2024-10-08T07:10:00-03:
5,average:2499,2024-10-08T07:10:00-03:
5,total_with_platform_fee:2799,2024-10-08T07:10:00-03:
5,average_with_platform_fee:2799,2024-10-08T07:10:00-03:
6,total:1999,2024-10-08T07:45:00-03:
6,original:1999,2024-10-08T07:45:00-03:
6,average:1999,2024-10-08T07:45:00-03:
6,total_with_platform_fee:2299,2024-10-08T07:45:00-03:
6,average_with_platform_fee:2299,2024-10-08T07:45:00-03:
7,total:1999,2024-10-08T08:10:00-03:
7,original:1999,2024-10-08T08:10:00-03:
7,average:1999,2024-10-08T08:10:00-03:
7,total_with_platform_fee:2299,2024-10-08T08:10:00-03:
7,average_with_platform_fee:2299,2024-10-08T08:10:00-03:
8,total:2499,2024-10-08T08:15:00-03:
8,original:2499,2024-10-08T08:15:00-03:
8,average:2499,2024-10-08T08:15:00-03:
8,total_with_platform_fee:2799,2024-10-08T08:15:00-03:
8,average_with_platform_fee:2799,2024-10-08T08:15:00-03:
9,total:2499,2024-10-08T08:40:00-03:
9,original:2499,2024-10-08T08:40:00-03:
9,average:2499,2024-10-08T08:40:00-03:
9,total_with_platform_fee:2799,2024-10-08T08:40:00-03:
9,average_with_platform_fee:2799,2024-10-08T08:40:00-03:
10,total:2499,2024-10-08T09:15:00-03:
10,original:2499,2024-10-08T09:15:00-03:
10,average:2499,2024-10-08T09:15:00-03:
10,total_with_platform_fee:2799,2024-10-08T09:15:00-03:
10,average_with_platform_fee:2799,2024-10-08T09:15:00-03:
11,total:2499,2024-10-08T09:40:00-03:
11,original:2499,2024-10-08T09:40:00-03:
11,average:2499,2024-10-08T09:40:00-03:
